ID,Data,Time
Solution,"[[1.073e-01]
 [1.545e-01]
 [1.143e-01]
 [1.565e-01]
 [1.480e-01]
 [1.749e-01]
 [1.709e-01]
 [1.889e-01]
 [1.586e-01]
 [1.808e-01]
 [7.850e-02]
 [1.399e-01]
 [6.630e-02]
 [1.370e-01]
 [4.770e-02]
 [1.332e-01]
 [1.000e-04]
 [1.239e-01]
 [6.260e-02]
 [1.407e-01]
 [1.151e-01]
 [1.624e-01]
 [1.251e-01]
 [1.669e-01]
 [1.000e-04]
 [1.183e-01]
 [0.000e+00]
 [8.210e-02]
 [0.000e+00]
 [1.232e-01]
 [5.400e-02]
 [1.447e-01]
 [4.250e-02]
 [1.420e-01]
 [3.400e-02]
 [1.403e-01]
 [2.410e-02]
 [1.389e-01]
 [4.400e-03]
 [1.375e-01]
 [2.210e-02]
 [1.355e-01]
 [4.580e-02]
 [1.393e-01]
 [6.270e-02]
 [1.425e-01]
 [7.700e-02]
 [1.454e-01]]",83135.103
demand_pred,"[[0.11357]
 [0.14625]
 [0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]]",83135.105
electricity_price,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]]",83135.106
Simulated_hour,5,83723.521
tower_tank_level,364,83723.524
Solution,"[[1.137e-01]
 [1.560e-01]
 [1.474e-01]
 [1.744e-01]
 [1.704e-01]
 [1.885e-01]
 [1.580e-01]
 [1.804e-01]
 [7.880e-02]
 [1.400e-01]
 [6.650e-02]
 [1.371e-01]
 [4.780e-02]
 [1.332e-01]
 [1.000e-04]
 [1.239e-01]
 [6.250e-02]
 [1.406e-01]
 [1.151e-01]
 [1.624e-01]
 [1.251e-01]
 [1.669e-01]
 [1.000e-04]
 [1.182e-01]
 [0.000e+00]
 [8.210e-02]
 [0.000e+00]
 [1.231e-01]
 [5.400e-02]
 [1.447e-01]
 [4.260e-02]
 [1.419e-01]
 [3.400e-02]
 [1.403e-01]
 [2.420e-02]
 [1.388e-01]
 [4.500e-03]
 [1.374e-01]
 [1.450e-02]
 [1.343e-01]
 [4.050e-02]
 [1.382e-01]
 [5.840e-02]
 [1.414e-01]
 [7.340e-02]
 [1.442e-01]
 [1.273e-01]
 [1.649e-01]]",83735.533
demand_pred,"[[0.14625]
 [0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]]",83735.535
electricity_price,"[[0.05]
 [0.05]
 [0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]]",83735.535
Simulated_hour,6,84323.528
tower_tank_level,435,84323.535
Solution,"[[1.483e-01]
 [1.748e-01]
 [1.711e-01]
 [1.890e-01]
 [1.588e-01]
 [1.809e-01]
 [7.900e-02]
 [1.400e-01]
 [6.690e-02]
 [1.370e-01]
 [4.820e-02]
 [1.331e-01]
 [1.000e-04]
 [1.239e-01]
 [6.250e-02]
 [1.406e-01]
 [1.152e-01]
 [1.623e-01]
 [1.252e-01]
 [1.669e-01]
 [1.000e-04]
 [1.182e-01]
 [0.000e+00]
 [8.190e-02]
 [1.000e-04]
 [1.230e-01]
 [5.410e-02]
 [1.446e-01]
 [4.270e-02]
 [1.418e-01]
 [3.410e-02]
 [1.402e-01]
 [2.430e-02]
 [1.387e-01]
 [4.700e-03]
 [1.372e-01]
 [1.310e-02]
 [1.339e-01]
 [3.950e-02]
 [1.379e-01]
 [5.760e-02]
 [1.410e-01]
 [7.270e-02]
 [1.439e-01]
 [1.268e-01]
 [1.647e-01]
 [1.078e-01]
 [1.538e-01]]",84335.395
demand_pred,"[[0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]
 [0.10924]
 [0.11511]
 [0.13662]]",84335.397
electricity_price,"[[0.05]
 [0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]
 [0.04]]",84335.397
Simulated_hour,7,84923.54
tower_tank_level,490,84923.543
