ID,Data,Time
flow,0.0528,81433.059
Pump_percentage,61.0,81433.061
flow,0.0648,81434.064
Pump_percentage,60.8,81434.064
flow,0.0738,81435.076
Pump_percentage,60.6,81435.078
flow,0.075,81436.091
Pump_percentage,60.5,81436.093
flow,0.069,81437.096
Pump_percentage,60.4,81437.098
flow,0.06,81438.108
Pump_percentage,60.3,81438.109
flow,0.051,81439.123
Pump_percentage,60.3,81439.125
flow,0.0426,81440.14
Pump_percentage,60.3,81440.141
flow,0.0366,81441.145
Pump_percentage,60.3,81441.146
flow,0.033,81442.143
Pump_percentage,60.3,81442.145
flow,0.0318,81443.148
Pump_percentage,60.3,81443.149
flow,0.012,81444.148
Pump_percentage,60.5,81444.149
flow,0.003,81445.156
Pump_percentage,60.6,81445.157
flow,0.0006,81446.156
Pump_percentage,60.7,81446.157
flow,0.0,81447.16
Pump_percentage,60.8,81447.161
flow,0.0,81448.171
Pump_percentage,60.9,81448.173
flow,0.0,81449.18
Pump_percentage,61.1,81449.181
flow,0.0,81450.184
Pump_percentage,61.2,81450.185
flow,0.009,81451.2
Pump_percentage,61.2,81451.201
flow,0.0378,81452.216
Pump_percentage,61.1,81452.218
flow,0.057,81453.22
Pump_percentage,61.0,81453.221
flow,0.069,81454.227
Pump_percentage,60.8,81454.228
flow,0.078,81455.228
Pump_percentage,60.6,81455.229
flow,0.078,81456.232
Pump_percentage,60.5,81456.233
flow,0.0708,81457.232
Pump_percentage,60.4,81457.233
flow,0.0606,81458.236
Pump_percentage,60.3,81458.237
flow,0.0486,81459.24
Pump_percentage,60.3,81459.242
flow,0.024,81460.243
Pump_percentage,60.4,81460.245
flow,0.0078,81461.256
Pump_percentage,60.5,81461.256
flow,0.0018,81462.271
Pump_percentage,60.7,81462.273
flow,0.0,81463.276
Pump_percentage,60.8,81463.277
flow,0.0,81464.291
Pump_percentage,60.9,81464.293
flow,0.0,81465.299
Pump_percentage,61.0,81465.301
flow,0.0,81466.304
Pump_percentage,61.1,81466.306
flow,0.0,81467.316
Pump_percentage,61.3,81467.317
flow,0.0018,81468.316
Pump_percentage,61.4,81468.317
flow,0.0348,81469.32
Pump_percentage,61.2,81469.322
flow,0.0546,81470.324
Pump_percentage,61.1,81470.325
flow,0.0696,81471.335
Pump_percentage,60.9,81471.337
flow,0.081,81472.348
Pump_percentage,60.7,81472.349
flow,0.0846,81473.352
Pump_percentage,60.5,81473.354
flow,0.0798,81474.36
Pump_percentage,60.4,81474.361
flow,0.0678,81475.363
Pump_percentage,60.3,81475.364
flow,0.0498,81476.38
Pump_percentage,60.3,81476.381
flow,0.0258,81477.392
Pump_percentage,60.4,81477.394
flow,0.009,81478.408
Pump_percentage,60.5,81478.409
flow,0.0018,81479.42
Pump_percentage,60.7,81479.422
flow,0.0,81480.428
Pump_percentage,60.8,81480.43
flow,0.0,81481.44
Pump_percentage,60.9,81481.442
flow,0.0,81482.459
Pump_percentage,61.0,81482.461
flow,0.0,81483.463
Pump_percentage,61.2,81483.465
flow,0.0,81484.471
Pump_percentage,61.3,81484.473
flow,0.0,81485.484
Pump_percentage,61.4,81485.485
flow,0.0318,81486.496
Pump_percentage,61.3,81486.497
flow,0.0516,81487.508
Pump_percentage,61.2,81487.51
flow,0.0666,81488.514
Pump_percentage,61.0,81488.515
flow,0.075,81489.512
Pump_percentage,60.8,81489.514
flow,0.0768,81490.524
Pump_percentage,60.7,81490.526
flow,0.0738,81491.528
Pump_percentage,60.5,81491.53
flow,0.066,81492.544
Pump_percentage,60.4,81492.546
flow,0.0546,81493.556
Pump_percentage,60.4,81493.557
flow,0.0426,81494.556
Pump_percentage,60.4,81494.557
flow,0.0288,81495.572
Pump_percentage,60.5,81495.573
flow,0.0096,81496.58
Pump_percentage,60.6,81496.582
flow,0.003,81497.592
Pump_percentage,60.7,81497.593
flow,0.0,81498.604
Pump_percentage,60.9,81498.606
flow,0.0,81499.621
Pump_percentage,61.0,81499.622
flow,0.0,81500.633
Pump_percentage,61.1,81500.634
flow,0.0,81501.643
Pump_percentage,61.2,81501.645
flow,0.0048,81502.66
Pump_percentage,61.3,81502.661
flow,0.036,81503.673
Pump_percentage,61.2,81503.675
flow,0.0558,81504.684
Pump_percentage,61.0,81504.686
flow,0.069,81505.696
Pump_percentage,60.9,81505.698
flow,0.0756,81506.712
Pump_percentage,60.7,81506.714
flow,0.0726,81507.723
Pump_percentage,60.6,81507.725
flow,0.063,81508.724
Pump_percentage,60.5,81508.726
flow,0.0498,81509.736
Pump_percentage,60.5,81509.738
flow,0.0366,81510.749
Pump_percentage,60.5,81510.75
flow,0.012,81511.752
Pump_percentage,60.7,81511.753
flow,0.0036,81512.765
Pump_percentage,60.8,81512.766
flow,0.0006,81513.778
Pump_percentage,60.9,81513.779
flow,0.0,81514.789
Pump_percentage,61.0,81514.791
flow,0.0,81515.795
Pump_percentage,61.2,81515.797
flow,0.0,81516.799
Pump_percentage,61.3,81516.801
flow,0.0108,81517.8
Pump_percentage,61.3,81517.801
flow,0.0366,81518.804
Pump_percentage,61.2,81518.806
flow,0.0558,81519.819
Pump_percentage,61.1,81519.822
flow,0.0678,81520.823
Pump_percentage,60.9,81520.825
flow,0.0756,81521.828
Pump_percentage,60.7,81521.83
flow,0.0798,81522.832
Pump_percentage,60.6,81522.834
flow,0.0756,81523.833
Pump_percentage,60.4,81523.834
flow,0.0636,81524.833
Pump_percentage,60.4,81524.834
flow,0.0516,81525.848
Pump_percentage,60.3,81525.85
flow,0.0366,81526.86
Pump_percentage,60.4,81526.862
flow,0.012,81527.876
Pump_percentage,60.5,81527.878
flow,0.0036,81528.878
Pump_percentage,60.7,81528.879
flow,0.0006,81529.876
Pump_percentage,60.8,81529.878
flow,0.0,81530.892
Pump_percentage,60.9,81530.893
flow,0.0,81531.908
Pump_percentage,61.0,81531.91
flow,0.0,81532.92
Pump_percentage,61.1,81532.921
flow,0.0,81533.923
Pump_percentage,61.3,81533.925
flow,0.0,81534.932
Pump_percentage,61.4,81534.934
flow,0.0246,81535.944
Pump_percentage,61.3,81535.946
flow,0.048,81536.96
Pump_percentage,61.2,81536.961
flow,0.0618,81537.972
Pump_percentage,61.1,81537.974
flow,0.0696,81538.972
Pump_percentage,60.9,81538.974
flow,0.075,81539.976
Pump_percentage,60.7,81539.978
flow,0.0756,81540.988
Pump_percentage,60.6,81540.99
flow,0.0708,81542.0
Pump_percentage,60.5,81542.001
flow,0.0588,81543.016
Pump_percentage,60.4,81543.018
flow,0.0468,81544.017
Pump_percentage,60.4,81544.018
flow,0.03,81545.032
Pump_percentage,60.5,81545.034
flow,0.0096,81546.044
Pump_percentage,60.6,81546.045
flow,0.003,81547.06
Pump_percentage,60.8,81547.061
flow,0.0,81548.073
Pump_percentage,60.9,81548.075
flow,0.0,81549.084
Pump_percentage,61.0,81549.086
flow,0.0,81550.099
Pump_percentage,61.1,81550.101
flow,0.0,81551.1
Pump_percentage,61.2,81551.102
flow,0.0108,81552.116
Pump_percentage,61.3,81552.118
flow,0.039,81553.128
Pump_percentage,61.2,81553.13
flow,0.057,81554.144
Pump_percentage,61.0,81554.146
flow,0.069,81555.156
Pump_percentage,60.8,81555.158
flow,0.0756,81556.168
Pump_percentage,60.7,81556.17
flow,0.0756,81557.182
Pump_percentage,60.5,81557.182
flow,0.0696,81558.184
Pump_percentage,60.4,81558.186
flow,0.0588,81559.2
Pump_percentage,60.4,81559.202
flow,0.045,81560.204
Pump_percentage,60.4,81560.205
flow,0.0168,81561.208
Pump_percentage,60.5,81561.209
flow,0.0048,81562.212
Pump_percentage,60.7,81562.214
flow,0.0006,81563.212
Pump_percentage,60.8,81563.214
flow,0.0,81564.224
Pump_percentage,60.9,81564.225
flow,0.0,81565.24
Pump_percentage,61.0,81565.242
flow,0.0,81566.248
Pump_percentage,61.1,81566.25
flow,0.0,81567.264
Pump_percentage,61.3,81567.266
flow,0.0,81568.264
Pump_percentage,61.4,81568.265
flow,0.0288,81569.264
Pump_percentage,61.3,81569.266
flow,0.051,81570.28
Pump_percentage,61.2,81570.281
flow,0.0636,81571.284
Pump_percentage,61.0,81571.286
flow,0.0708,81572.296
Pump_percentage,60.9,81572.297
flow,0.0708,81573.3
Pump_percentage,60.7,81573.301
flow,0.069,81574.312
Pump_percentage,60.6,81574.314
flow,0.063,81575.316
Pump_percentage,60.5,81575.318
flow,0.051,81576.319
Pump_percentage,60.5,81576.321
flow,0.0306,81577.324
Pump_percentage,60.6,81577.325
flow,0.0108,81578.328
Pump_percentage,60.7,81578.329
flow,0.003,81579.332
Pump_percentage,60.8,81579.333
flow,0.0,81580.34
Pump_percentage,61.0,81580.342
flow,0.0,81581.344
Pump_percentage,61.1,81581.345
flow,0.0,81582.36
Pump_percentage,61.2,81582.362
