ID,Data
secret,"[[0.2336]
 [0.2675]
 [0.2359]
 [0.2694]
 [0.2282]
 [0.2621]
 [0.2912]
 [0.319 ]
 [0.2942]
 [0.3225]
 [0.3393]
 [0.3669]
 [0.4091]
 [0.4381]
 [0.3828]
 [0.4173]
 [0.2548]
 [0.3089]
 [0.2472]
 [0.3078]
 [0.2373]
 [0.3044]
 [0.2066]
 [0.2842]
 [0.2385]
 [0.3166]
 [0.2831]
 [0.3592]
 [0.3017]
 [0.3797]
 [0.1807]
 [0.287 ]
 [0.0981]
 [0.2319]
 [0.1788]
 [0.3013]
 [0.2307]
 [0.3405]
 [0.2086]
 [0.3038]
 [0.192 ]
 [0.2832]
 [0.1898]
 [0.2699]
 [0.2535]
 [0.3166]
 [0.6803]
 [0.6855]]"
b2,"(48, 1)"
secret,"[[0.2367]
 [0.2716]
 [0.239 ]
 [0.2737]
 [0.231 ]
 [0.2663]
 [0.296 ]
 [0.3248]
 [0.2991]
 [0.3285]
 [0.345 ]
 [0.3735]
 [0.4186]
 [0.4482]
 [0.391 ]
 [0.4265]
 [0.2582]
 [0.3139]
 [0.2504]
 [0.3129]
 [0.2402]
 [0.3093]
 [0.2084]
 [0.2885]
 [0.2414]
 [0.3219]
 [0.2879]
 [0.3661]
 [0.307 ]
 [0.3872]
 [0.1817]
 [0.2912]
 [0.0965]
 [0.2345]
 [0.1796]
 [0.3059]
 [0.2317]
 [0.3448]
 [0.2084]
 [0.3068]
 [0.1909]
 [0.2851]
 [0.1846]
 [0.2678]
 [0.2454]
 [0.3109]
 [0.6826]
 [0.6875]]"
b2,"(48, 1)"
secret,"[[0.2394]
 [0.2758]
 [0.2418]
 [0.2778]
 [0.2337]
 [0.2701]
 [0.3008]
 [0.3305]
 [0.304 ]
 [0.3344]
 [0.3506]
 [0.3799]
 [0.4277]
 [0.4581]
 [0.3989]
 [0.4352]
 [0.2613]
 [0.3186]
 [0.2532]
 [0.3175]
 [0.2426]
 [0.3139]
 [0.2099]
 [0.2923]
 [0.2441]
 [0.3268]
 [0.2922]
 [0.3723]
 [0.3123]
 [0.3943]
 [0.1823]
 [0.2951]
 [0.0944]
 [0.2371]
 [0.1803]
 [0.31  ]
 [0.2328]
 [0.349 ]
 [0.2082]
 [0.3099]
 [0.1896]
 [0.2873]
 [0.18  ]
 [0.2665]
 [0.2373]
 [0.3054]
 [0.6848]
 [0.6894]]"
b2,"(48, 1)"
secret,"[[0.2419]
 [0.2794]
 [0.2443]
 [0.2817]
 [0.236 ]
 [0.2738]
 [0.305 ]
 [0.3356]
 [0.3085]
 [0.3395]
 [0.3558]
 [0.386 ]
 [0.4364]
 [0.4673]
 [0.4064]
 [0.4435]
 [0.2639]
 [0.3229]
 [0.2555]
 [0.3217]
 [0.2446]
 [0.3178]
 [0.2109]
 [0.2957]
 [0.2462]
 [0.3312]
 [0.2961]
 [0.3782]
 [0.3169]
 [0.4007]
 [0.1824]
 [0.2982]
 [0.0919]
 [0.239 ]
 [0.1804]
 [0.3137]
 [0.2335]
 [0.3525]
 [0.208 ]
 [0.3128]
 [0.1885]
 [0.2894]
 [0.1758]
 [0.2657]
 [0.2291]
 [0.2999]
 [0.6865]
 [0.6909]]"
b2,"(48, 1)"
secret,"[[0.2439]
 [0.2827]
 [0.2466]
 [0.2848]
 [0.2379]
 [0.2769]
 [0.3089]
 [0.3404]
 [0.3124]
 [0.3445]
 [0.3605]
 [0.3914]
 [0.4444]
 [0.4761]
 [0.4135]
 [0.4513]
 [0.2659]
 [0.3265]
 [0.2574]
 [0.3252]
 [0.246 ]
 [0.3213]
 [0.2113]
 [0.2983]
 [0.248 ]
 [0.3349]
 [0.2994]
 [0.3834]
 [0.321 ]
 [0.4065]
 [0.1819]
 [0.3007]
 [0.0889]
 [0.2402]
 [0.1798]
 [0.3166]
 [0.2336]
 [0.3559]
 [0.2077]
 [0.3157]
 [0.1875]
 [0.2917]
 [0.1721]
 [0.2651]
 [0.2211]
 [0.2945]
 [0.6879]
 [0.6923]]"
b2,"(48, 1)"
secret,"[[0.2453]
 [0.2854]
 [0.248 ]
 [0.2876]
 [0.2392]
 [0.2795]
 [0.312 ]
 [0.3445]
 [0.3158]
 [0.3487]
 [0.3645]
 [0.3962]
 [0.4502]
 [0.4825]
 [0.4199]
 [0.4585]
 [0.2676]
 [0.3296]
 [0.2587]
 [0.3282]
 [0.2471]
 [0.3241]
 [0.2113]
 [0.3006]
 [0.2491]
 [0.3382]
 [0.3023]
 [0.388 ]
 [0.3247]
 [0.4118]
 [0.181 ]
 [0.3029]
 [0.0854]
 [0.2411]
 [0.1789]
 [0.3191]
 [0.2334]
 [0.3586]
 [0.2073]
 [0.3184]
 [0.1866]
 [0.294 ]
 [0.1686]
 [0.2648]
 [0.2129]
 [0.2891]
 [0.6892]
 [0.6932]]"
b2,"(48, 1)"
secret,"[[0.2461]
 [0.2873]
 [0.249 ]
 [0.2897]
 [0.2402]
 [0.2815]
 [0.3147]
 [0.3481]
 [0.3186]
 [0.3523]
 [0.3681]
 [0.4006]
 [0.4546]
 [0.4873]
 [0.426 ]
 [0.4651]
 [0.2687]
 [0.3322]
 [0.2596]
 [0.3308]
 [0.2475]
 [0.3265]
 [0.2107]
 [0.3023]
 [0.2497]
 [0.3409]
 [0.3047]
 [0.3921]
 [0.3277]
 [0.4166]
 [0.1795]
 [0.3042]
 [0.0814]
 [0.2416]
 [0.1773]
 [0.3208]
 [0.2329]
 [0.3607]
 [0.2071]
 [0.3208]
 [0.1858]
 [0.2963]
 [0.1655]
 [0.265 ]
 [0.2047]
 [0.2836]
 [0.6901]
 [0.6941]]"
b2,"(48, 1)"
secret,"[[0.2465]
 [0.2889]
 [0.2494]
 [0.2914]
 [0.2403]
 [0.283 ]
 [0.3168]
 [0.351 ]
 [0.3209]
 [0.3555]
 [0.371 ]
 [0.4043]
 [0.4576]
 [0.4908]
 [0.4314]
 [0.4713]
 [0.2692]
 [0.3343]
 [0.2599]
 [0.3326]
 [0.2476]
 [0.3282]
 [0.2097]
 [0.3034]
 [0.2497]
 [0.3429]
 [0.3065]
 [0.3956]
 [0.3303]
 [0.4206]
 [0.1776]
 [0.3052]
 [0.0771]
 [0.2414]
 [0.1752]
 [0.3219]
 [0.2319]
 [0.3626]
 [0.2064]
 [0.3231]
 [0.1851]
 [0.2986]
 [0.1628]
 [0.2654]
 [0.1967]
 [0.2783]
 [0.6911]
 [0.6948]]"
b2,"(48, 1)"
secret,"[[0.2464]
 [0.2899]
 [0.2493]
 [0.2924]
 [0.2401]
 [0.2839]
 [0.3183]
 [0.3535]
 [0.3226]
 [0.3582]
 [0.3734]
 [0.4074]
 [0.4594]
 [0.4929]
 [0.4366]
 [0.477 ]
 [0.2694]
 [0.3358]
 [0.2598]
 [0.3342]
 [0.2471]
 [0.3296]
 [0.208 ]
 [0.304 ]
 [0.2493]
 [0.3445]
 [0.3078]
 [0.3984]
 [0.3324]
 [0.4244]
 [0.1751]
 [0.3056]
 [0.0721]
 [0.2408]
 [0.1727]
 [0.3225]
 [0.2309]
 [0.3641]
 [0.2058]
 [0.3255]
 [0.1844]
 [0.301 ]
 [0.1605]
 [0.2665]
 [0.1889]
 [0.2732]
 [0.692 ]
 [0.6954]]"
b2,"(48, 1)"
secret,"[[0.2459]
 [0.2905]
 [0.2488]
 [0.2932]
 [0.2394]
 [0.2844]
 [0.3194]
 [0.3554]
 [0.3237]
 [0.3602]
 [0.3754]
 [0.4101]
 [0.4601]
 [0.4942]
 [0.4412]
 [0.4823]
 [0.269 ]
 [0.337 ]
 [0.2593]
 [0.3352]
 [0.2462]
 [0.3305]
 [0.2061]
 [0.3041]
 [0.2484]
 [0.3456]
 [0.3087]
 [0.401 ]
 [0.3342]
 [0.4273]
 [0.1722]
 [0.3055]
 [0.0669]
 [0.2399]
 [0.1697]
 [0.3228]
 [0.2295]
 [0.3652]
 [0.2052]
 [0.3276]
 [0.184 ]
 [0.3035]
 [0.1589]
 [0.268 ]
 [0.1811]
 [0.2683]
 [0.6928]
 [0.6961]]"
b2,"(48, 1)"
secret,"[[0.2448]
 [0.2907]
 [0.248 ]
 [0.2935]
 [0.2383]
 [0.2845]
 [0.3202]
 [0.357 ]
 [0.3246]
 [0.3618]
 [0.3767]
 [0.4124]
 [0.46  ]
 [0.4945]
 [0.4455]
 [0.487 ]
 [0.2684]
 [0.3378]
 [0.2584]
 [0.3359]
 [0.245 ]
 [0.331 ]
 [0.2039]
 [0.304 ]
 [0.2475]
 [0.3463]
 [0.3093]
 [0.4032]
 [0.3357]
 [0.4301]
 [0.1691]
 [0.3051]
 [0.0614]
 [0.2386]
 [0.1664]
 [0.3226]
 [0.2279]
 [0.3663]
 [0.2044]
 [0.3296]
 [0.1835]
 [0.3061]
 [0.1576]
 [0.27  ]
 [0.1739]
 [0.2639]
 [0.6939]
 [0.697 ]]"
b2,"(48, 1)"
secret,"[[0.2435]
 [0.2905]
 [0.2467]
 [0.2933]
 [0.2368]
 [0.2842]
 [0.3203]
 [0.358 ]
 [0.325 ]
 [0.363 ]
 [0.3779]
 [0.4141]
 [0.459 ]
 [0.4941]
 [0.4495]
 [0.4917]
 [0.2675]
 [0.3382]
 [0.2574]
 [0.3363]
 [0.2436]
 [0.3313]
 [0.2014]
 [0.3036]
 [0.246 ]
 [0.3469]
 [0.3096]
 [0.405 ]
 [0.3366]
 [0.4326]
 [0.1658]
 [0.3045]
 [0.0557]
 [0.2372]
 [0.1629]
 [0.3221]
 [0.2265]
 [0.3672]
 [0.2037]
 [0.3317]
 [0.1833]
 [0.3088]
 [0.157 ]
 [0.2723]
 [0.1669]
 [0.2597]
 [0.695 ]
 [0.698 ]]"
b2,"(48, 1)"
secret,"[[0.2416]
 [0.2896]
 [0.2449]
 [0.2928]
 [0.235 ]
 [0.2834]
 [0.3201]
 [0.3586]
 [0.3247]
 [0.3636]
 [0.3784]
 [0.4152]
 [0.4592]
 [0.4947]
 [0.4536]
 [0.496 ]
 [0.2665]
 [0.3385]
 [0.2559]
 [0.3364]
 [0.2419]
 [0.3314]
 [0.1988]
 [0.3031]
 [0.2445]
 [0.3471]
 [0.3098]
 [0.4067]
 [0.3376]
 [0.4344]
 [0.1623]
 [0.3038]
 [0.05  ]
 [0.2357]
 [0.1591]
 [0.3216]
 [0.2247]
 [0.368 ]
 [0.2032]
 [0.3336]
 [0.1832]
 [0.3114]
 [0.1568]
 [0.2753]
 [0.1603]
 [0.2562]
 [0.6965]
 [0.6992]]"
b2,"(48, 1)"
secret,"[[0.2394]
 [0.2888]
 [0.243 ]
 [0.292 ]
 [0.2328]
 [0.2824]
 [0.3195]
 [0.359 ]
 [0.3245]
 [0.3641]
 [0.3786]
 [0.4162]
 [0.4592]
 [0.4952]
 [0.4572]
 [0.5002]
 [0.2654]
 [0.3388]
 [0.2546]
 [0.3365]
 [0.2402]
 [0.3312]
 [0.1961]
 [0.3025]
 [0.2428]
 [0.3473]
 [0.3098]
 [0.4081]
 [0.3381]
 [0.4363]
 [0.1587]
 [0.3029]
 [0.0442]
 [0.2341]
 [0.1554]
 [0.3208]
 [0.2232]
 [0.3688]
 [0.2027]
 [0.3358]
 [0.1832]
 [0.3144]
 [0.157 ]
 [0.2786]
 [0.154 ]
 [0.2528]
 [0.6983]
 [0.7007]]"
b2,"(48, 1)"
secret,"[[0.2371]
 [0.2876]
 [0.2408]
 [0.2909]
 [0.2303]
 [0.2812]
 [0.3189]
 [0.3589]
 [0.3239]
 [0.3643]
 [0.3786]
 [0.4168]
 [0.4588]
 [0.4953]
 [0.4609]
 [0.5044]
 [0.2641]
 [0.3389]
 [0.2531]
 [0.3365]
 [0.2383]
 [0.331 ]
 [0.1931]
 [0.3018]
 [0.2411]
 [0.3473]
 [0.3098]
 [0.4094]
 [0.3383]
 [0.4379]
 [0.1549]
 [0.302 ]
 [0.0386]
 [0.2326]
 [0.1516]
 [0.3201]
 [0.2217]
 [0.3696]
 [0.2023]
 [0.3378]
 [0.1835]
 [0.3172]
 [0.1576]
 [0.2821]
 [0.1484]
 [0.2501]
 [0.7002]
 [0.7025]]"
b2,"(48, 1)"
secret,"[[0.2347]
 [0.2864]
 [0.2384]
 [0.2896]
 [0.2278]
 [0.2798]
 [0.3181]
 [0.3588]
 [0.3232]
 [0.3644]
 [0.3785]
 [0.4175]
 [0.4582]
 [0.4952]
 [0.4644]
 [0.5082]
 [0.2627]
 [0.3389]
 [0.2515]
 [0.3365]
 [0.2365]
 [0.3307]
 [0.1905]
 [0.3009]
 [0.2394]
 [0.3473]
 [0.3098]
 [0.4108]
 [0.3389]
 [0.4395]
 [0.1512]
 [0.301 ]
 [0.0328]
 [0.2311]
 [0.1479]
 [0.3192]
 [0.2202]
 [0.3706]
 [0.202 ]
 [0.3402]
 [0.1838]
 [0.3202]
 [0.1588]
 [0.2859]
 [0.1431]
 [0.2477]
 [0.7025]
 [0.7047]]"
b2,"(48, 1)"
secret,"[[0.2323]
 [0.2851]
 [0.236 ]
 [0.2884]
 [0.2254]
 [0.2785]
 [0.317 ]
 [0.3587]
 [0.3223]
 [0.3643]
 [0.3782]
 [0.4179]
 [0.4577]
 [0.4951]
 [0.4663]
 [0.5104]
 [0.2616]
 [0.3392]
 [0.2502]
 [0.3365]
 [0.2349]
 [0.3309]
 [0.1879]
 [0.3004]
 [0.2378]
 [0.3475]
 [0.3099]
 [0.4122]
 [0.3394]
 [0.4411]
 [0.148 ]
 [0.3001]
 [0.0275]
 [0.2299]
 [0.1443]
 [0.3186]
 [0.219 ]
 [0.3717]
 [0.2019]
 [0.3422]
 [0.1842]
 [0.3233]
 [0.1601]
 [0.2901]
 [0.1379]
 [0.2455]
 [0.705 ]
 [0.7071]]"
b2,"(48, 1)"
secret,"[[0.2297]
 [0.2838]
 [0.2336]
 [0.2871]
 [0.2228]
 [0.2771]
 [0.3161]
 [0.3585]
 [0.3214]
 [0.3642]
 [0.3781]
 [0.4183]
 [0.4571]
 [0.495 ]
 [0.4674]
 [0.5118]
 [0.2607]
 [0.3394]
 [0.2491]
 [0.3368]
 [0.2334]
 [0.331 ]
 [0.1855]
 [0.2999]
 [0.2364]
 [0.3479]
 [0.3103]
 [0.4137]
 [0.34  ]
 [0.4429]
 [0.1447]
 [0.2995]
 [0.0221]
 [0.229 ]
 [0.141 ]
 [0.318 ]
 [0.218 ]
 [0.3728]
 [0.2018]
 [0.3445]
 [0.1849]
 [0.3264]
 [0.1617]
 [0.2945]
 [0.1334]
 [0.2439]
 [0.7078]
 [0.7095]]"
b2,"(48, 1)"
secret,"[[0.2273]
 [0.2823]
 [0.2311]
 [0.2857]
 [0.2202]
 [0.2756]
 [0.3149]
 [0.3583]
 [0.3205]
 [0.3641]
 [0.3777]
 [0.4186]
 [0.4564]
 [0.4948]
 [0.4681]
 [0.5129]
 [0.2599]
 [0.3399]
 [0.2479]
 [0.3372]
 [0.232 ]
 [0.3311]
 [0.183 ]
 [0.2995]
 [0.235 ]
 [0.3482]
 [0.3107]
 [0.4153]
 [0.3407]
 [0.4445]
 [0.1416]
 [0.299 ]
 [0.0173]
 [0.2283]
 [0.1378]
 [0.3178]
 [0.2169]
 [0.374 ]
 [0.2017]
 [0.3467]
 [0.1854]
 [0.3294]
 [0.1634]
 [0.2988]
 [0.1302]
 [0.2436]
 [0.7099]
 [0.7113]]"
b2,"(48, 1)"
secret,"[[0.2247]
 [0.2809]
 [0.2289]
 [0.2847]
 [0.2178]
 [0.2744]
 [0.3139]
 [0.358 ]
 [0.3196]
 [0.3642]
 [0.3772]
 [0.4189]
 [0.4559]
 [0.4945]
 [0.4682]
 [0.5134]
 [0.2591]
 [0.3405]
 [0.247 ]
 [0.3375]
 [0.2307]
 [0.3313]
 [0.1809]
 [0.2994]
 [0.2338]
 [0.3488]
 [0.3111]
 [0.4169]
 [0.3414]
 [0.4462]
 [0.1386]
 [0.2987]
 [0.0125]
 [0.2277]
 [0.1347]
 [0.3176]
 [0.2162]
 [0.3754]
 [0.2018]
 [0.349 ]
 [0.186 ]
 [0.3324]
 [0.1653]
 [0.3033]
 [0.1279]
 [0.2442]
 [0.7117]
 [0.7131]]"
b2,"(48, 1)"
secret,"[[0.2221]
 [0.2796]
 [0.2266]
 [0.2834]
 [0.2151]
 [0.2729]
 [0.3129]
 [0.3578]
 [0.3187]
 [0.3639]
 [0.377 ]
 [0.4193]
 [0.4553]
 [0.4945]
 [0.4677]
 [0.5134]
 [0.2583]
 [0.341 ]
 [0.246 ]
 [0.3381]
 [0.2295]
 [0.3318]
 [0.1786]
 [0.2993]
 [0.2327]
 [0.3495]
 [0.3118]
 [0.4189]
 [0.3421]
 [0.448 ]
 [0.136 ]
 [0.2985]
 [0.0079]
 [0.2274]
 [0.1318]
 [0.3176]
 [0.2155]
 [0.3767]
 [0.2018]
 [0.3512]
 [0.1867]
 [0.3355]
 [0.1671]
 [0.3077]
 [0.1264]
 [0.2454]
 [0.7136]
 [0.7144]]"
b2,"(48, 1)"
secret,"[[0.2199]
 [0.2785]
 [0.2242]
 [0.2822]
 [0.2126]
 [0.2717]
 [0.3121]
 [0.3577]
 [0.3179]
 [0.3639]
 [0.3767]
 [0.4195]
 [0.4546]
 [0.4943]
 [0.4671]
 [0.513 ]
 [0.2579]
 [0.3416]
 [0.2454]
 [0.3386]
 [0.2283]
 [0.3323]
 [0.1769]
 [0.2993]
 [0.2317]
 [0.3501]
 [0.3126]
 [0.4208]
 [0.3431]
 [0.4498]
 [0.1334]
 [0.2986]
 [0.0035]
 [0.2273]
 [0.1291]
 [0.3177]
 [0.2149]
 [0.3782]
 [0.2018]
 [0.3532]
 [0.1872]
 [0.3382]
 [0.1689]
 [0.312 ]
 [0.1253]
 [0.2473]
 [0.7152]
 [0.716 ]]"
b2,"(48, 1)"
secret,"[[ 0.2174]
 [ 0.2773]
 [ 0.2219]
 [ 0.281 ]
 [ 0.2104]
 [ 0.2706]
 [ 0.3111]
 [ 0.3576]
 [ 0.317 ]
 [ 0.3637]
 [ 0.3764]
 [ 0.4199]
 [ 0.4542]
 [ 0.4941]
 [ 0.466 ]
 [ 0.5123]
 [ 0.2574]
 [ 0.3424]
 [ 0.2445]
 [ 0.3395]
 [ 0.2274]
 [ 0.3328]
 [ 0.1751]
 [ 0.2995]
 [ 0.2309]
 [ 0.3509]
 [ 0.3134]
 [ 0.4228]
 [ 0.344 ]
 [ 0.4516]
 [ 0.1308]
 [ 0.2986]
 [-0.0008]
 [ 0.2274]
 [ 0.1266]
 [ 0.318 ]
 [ 0.2143]
 [ 0.3796]
 [ 0.2017]
 [ 0.3554]
 [ 0.1876]
 [ 0.3408]
 [ 0.1706]
 [ 0.3161]
 [ 0.1249]
 [ 0.2496]
 [ 0.7167]
 [ 0.7172]]"
b2,"(48, 1)"
secret,"[[ 0.2152]
 [ 0.2762]
 [ 0.2197]
 [ 0.28  ]
 [ 0.2081]
 [ 0.2694]
 [ 0.3102]
 [ 0.3574]
 [ 0.3163]
 [ 0.3638]
 [ 0.3762]
 [ 0.4204]
 [ 0.4537]
 [ 0.4942]
 [ 0.4644]
 [ 0.5112]
 [ 0.2571]
 [ 0.3433]
 [ 0.244 ]
 [ 0.3402]
 [ 0.2265]
 [ 0.3335]
 [ 0.1733]
 [ 0.2997]
 [ 0.2302]
 [ 0.3519]
 [ 0.3145]
 [ 0.4248]
 [ 0.345 ]
 [ 0.4535]
 [ 0.1286]
 [ 0.2989]
 [-0.0048]
 [ 0.2276]
 [ 0.1241]
 [ 0.3184]
 [ 0.2139]
 [ 0.3811]
 [ 0.2016]
 [ 0.3572]
 [ 0.1879]
 [ 0.3433]
 [ 0.1721]
 [ 0.32  ]
 [ 0.1249]
 [ 0.2525]
 [ 0.718 ]
 [ 0.7181]]"
b2,"(48, 1)"
secret,"[[ 0.213 ]
 [ 0.275 ]
 [ 0.2176]
 [ 0.279 ]
 [ 0.2057]
 [ 0.2683]
 [ 0.3093]
 [ 0.3574]
 [ 0.3156]
 [ 0.3639]
 [ 0.376 ]
 [ 0.4208]
 [ 0.4533]
 [ 0.4941]
 [ 0.4629]
 [ 0.5098]
 [ 0.2569]
 [ 0.3443]
 [ 0.2435]
 [ 0.341 ]
 [ 0.2259]
 [ 0.3343]
 [ 0.1717]
 [ 0.3   ]
 [ 0.2296]
 [ 0.3527]
 [ 0.3155]
 [ 0.4269]
 [ 0.3461]
 [ 0.4555]
 [ 0.1264]
 [ 0.2993]
 [-0.0085]
 [ 0.228 ]
 [ 0.1217]
 [ 0.3189]
 [ 0.2134]
 [ 0.3825]
 [ 0.2012]
 [ 0.3592]
 [ 0.1879]
 [ 0.3456]
 [ 0.1733]
 [ 0.3236]
 [ 0.1253]
 [ 0.2557]
 [ 0.7191]
 [ 0.719 ]]"
b2,"(48, 1)"
secret,"[[ 0.2109]
 [ 0.2743]
 [ 0.2157]
 [ 0.2781]
 [ 0.2037]
 [ 0.2673]
 [ 0.3087]
 [ 0.3574]
 [ 0.315 ]
 [ 0.3639]
 [ 0.3758]
 [ 0.4213]
 [ 0.4529]
 [ 0.4941]
 [ 0.461 ]
 [ 0.5084]
 [ 0.2567]
 [ 0.3453]
 [ 0.243 ]
 [ 0.342 ]
 [ 0.2251]
 [ 0.3351]
 [ 0.17  ]
 [ 0.3005]
 [ 0.229 ]
 [ 0.3539]
 [ 0.3165]
 [ 0.4291]
 [ 0.3471]
 [ 0.4573]
 [ 0.1243]
 [ 0.2997]
 [-0.012 ]
 [ 0.2287]
 [ 0.1195]
 [ 0.3196]
 [ 0.2129]
 [ 0.384 ]
 [ 0.2009]
 [ 0.3609]
 [ 0.1876]
 [ 0.3476]
 [ 0.1744]
 [ 0.3269]
 [ 0.1262]
 [ 0.2594]
 [ 0.72  ]
 [ 0.7197]]"
b2,"(48, 1)"
secret,"[[ 0.209 ]
 [ 0.2732]
 [ 0.2138]
 [ 0.2773]
 [ 0.2015]
 [ 0.2665]
 [ 0.3081]
 [ 0.3575]
 [ 0.3143]
 [ 0.3643]
 [ 0.3757]
 [ 0.4219]
 [ 0.4525]
 [ 0.4942]
 [ 0.4592]
 [ 0.5068]
 [ 0.2564]
 [ 0.3463]
 [ 0.2428]
 [ 0.3428]
 [ 0.2245]
 [ 0.3359]
 [ 0.1687]
 [ 0.3009]
 [ 0.2285]
 [ 0.3548]
 [ 0.3177]
 [ 0.4313]
 [ 0.3481]
 [ 0.4592]
 [ 0.1221]
 [ 0.3002]
 [-0.0137]
 [ 0.2292]
 [ 0.1173]
 [ 0.3201]
 [ 0.2125]
 [ 0.3853]
 [ 0.2005]
 [ 0.3623]
 [ 0.1874]
 [ 0.3494]
 [ 0.1752]
 [ 0.3298]
 [ 0.1273]
 [ 0.2631]
 [ 0.7207]
 [ 0.72  ]]"
b2,"(48, 1)"
secret,"[[ 0.2071]
 [ 0.2725]
 [ 0.2118]
 [ 0.2765]
 [ 0.1995]
 [ 0.2656]
 [ 0.3073]
 [ 0.3576]
 [ 0.3139]
 [ 0.3644]
 [ 0.3759]
 [ 0.4225]
 [ 0.4523]
 [ 0.4944]
 [ 0.4569]
 [ 0.5052]
 [ 0.2561]
 [ 0.347 ]
 [ 0.2424]
 [ 0.3437]
 [ 0.2238]
 [ 0.3366]
 [ 0.1671]
 [ 0.3013]
 [ 0.2279]
 [ 0.3558]
 [ 0.3189]
 [ 0.4334]
 [ 0.3492]
 [ 0.461 ]
 [ 0.1202]
 [ 0.3006]
 [-0.0129]
 [ 0.2298]
 [ 0.1152]
 [ 0.3207]
 [ 0.212 ]
 [ 0.3865]
 [ 0.1998]
 [ 0.3636]
 [ 0.1869]
 [ 0.3508]
 [ 0.1754]
 [ 0.3323]
 [ 0.1283]
 [ 0.2671]
 [ 0.7212]
 [ 0.7204]]"
b2,"(48, 1)"
secret,"[[ 0.2049]
 [ 0.2716]
 [ 0.2099]
 [ 0.2758]
 [ 0.1975]
 [ 0.2647]
 [ 0.3066]
 [ 0.3576]
 [ 0.3132]
 [ 0.3646]
 [ 0.3757]
 [ 0.4231]
 [ 0.4519]
 [ 0.4946]
 [ 0.4556]
 [ 0.504 ]
 [ 0.2559]
 [ 0.348 ]
 [ 0.2418]
 [ 0.3446]
 [ 0.2232]
 [ 0.3374]
 [ 0.1657]
 [ 0.3019]
 [ 0.2275]
 [ 0.3569]
 [ 0.3198]
 [ 0.4353]
 [ 0.3501]
 [ 0.4626]
 [ 0.1181]
 [ 0.301 ]
 [-0.0116]
 [ 0.2303]
 [ 0.1132]
 [ 0.3215]
 [ 0.2115]
 [ 0.3877]
 [ 0.199 ]
 [ 0.3648]
 [ 0.1859]
 [ 0.3521]
 [ 0.1754]
 [ 0.3345]
 [ 0.1296]
 [ 0.2708]
 [ 0.7216]
 [ 0.7205]]"
b2,"(48, 1)"
secret,"[[ 0.2029]
 [ 0.2707]
 [ 0.2081]
 [ 0.2751]
 [ 0.1953]
 [ 0.264 ]
 [ 0.3059]
 [ 0.3578]
 [ 0.3126]
 [ 0.3649]
 [ 0.3756]
 [ 0.4236]
 [ 0.4517]
 [ 0.4948]
 [ 0.4544]
 [ 0.5034]
 [ 0.2557]
 [ 0.3489]
 [ 0.2413]
 [ 0.3455]
 [ 0.2224]
 [ 0.3383]
 [ 0.1643]
 [ 0.3023]
 [ 0.2269]
 [ 0.3579]
 [ 0.3207]
 [ 0.4373]
 [ 0.3511]
 [ 0.4644]
 [ 0.1161]
 [ 0.3015]
 [-0.0098]
 [ 0.2307]
 [ 0.1112]
 [ 0.3221]
 [ 0.2109]
 [ 0.3889]
 [ 0.1982]
 [ 0.3658]
 [ 0.185 ]
 [ 0.3531]
 [ 0.175 ]
 [ 0.3362]
 [ 0.131 ]
 [ 0.2749]
 [ 0.7217]
 [ 0.7203]]"
b2,"(48, 1)"
secret,"[[ 0.2012]
 [ 0.27  ]
 [ 0.2063]
 [ 0.2745]
 [ 0.1935]
 [ 0.2633]
 [ 0.3054]
 [ 0.3581]
 [ 0.3122]
 [ 0.3652]
 [ 0.3755]
 [ 0.4243]
 [ 0.4515]
 [ 0.4949]
 [ 0.4534]
 [ 0.5027]
 [ 0.2554]
 [ 0.3498]
 [ 0.241 ]
 [ 0.3465]
 [ 0.2218]
 [ 0.339 ]
 [ 0.1628]
 [ 0.3028]
 [ 0.2264]
 [ 0.3588]
 [ 0.3216]
 [ 0.439 ]
 [ 0.352 ]
 [ 0.4659]
 [ 0.1143]
 [ 0.3022]
 [-0.0078]
 [ 0.2311]
 [ 0.1093]
 [ 0.3227]
 [ 0.2103]
 [ 0.3899]
 [ 0.1971]
 [ 0.3667]
 [ 0.1841]
 [ 0.354 ]
 [ 0.1742]
 [ 0.3378]
 [ 0.1326]
 [ 0.2787]
 [ 0.7218]
 [ 0.7202]]"
b2,"(48, 1)"
secret,"[[ 0.1994]
 [ 0.2694]
 [ 0.2046]
 [ 0.274 ]
 [ 0.1918]
 [ 0.2626]
 [ 0.305 ]
 [ 0.3583]
 [ 0.3119]
 [ 0.3655]
 [ 0.3759]
 [ 0.4251]
 [ 0.4514]
 [ 0.4953]
 [ 0.4524]
 [ 0.502 ]
 [ 0.2552]
 [ 0.3507]
 [ 0.2405]
 [ 0.3471]
 [ 0.2211]
 [ 0.3397]
 [ 0.1614]
 [ 0.3031]
 [ 0.2258]
 [ 0.3598]
 [ 0.3226]
 [ 0.4408]
 [ 0.3528]
 [ 0.4675]
 [ 0.1125]
 [ 0.3026]
 [-0.0059]
 [ 0.2316]
 [ 0.1073]
 [ 0.3236]
 [ 0.2095]
 [ 0.391 ]
 [ 0.196 ]
 [ 0.3674]
 [ 0.1828]
 [ 0.3547]
 [ 0.1732]
 [ 0.3389]
 [ 0.1338]
 [ 0.2826]
 [ 0.7219]
 [ 0.7199]]"
b2,"(48, 1)"
