ID,Data
secret,"[[0.2982]
 [0.305 ]
 [0.2981]
 [0.3051]
 [0.296 ]
 [0.3031]
 [0.309 ]
 [0.3149]
 [0.3091]
 [0.3153]
 [0.3253]
 [0.3316]
 [0.3236]
 [0.3308]
 [0.3185]
 [0.327 ]
 [0.2933]
 [0.3057]
 [0.2908]
 [0.3047]
 [0.2877]
 [0.3031]
 [0.2803]
 [0.2978]
 [0.2851]
 [0.3031]
 [0.2923]
 [0.3102]
 [0.2945]
 [0.3132]
 [0.2693]
 [0.2932]
 [0.2496]
 [0.2782]
 [0.2635]
 [0.2907]
 [0.2803]
 [0.3055]
 [0.3076]
 [0.3284]
 [0.3145]
 [0.3341]
 [0.3272]
 [0.3446]
 [0.3439]
 [0.3581]
 [0.4383]
 [0.4422]]"
b2,"(1, 1)"
secret,[[0.0558]]
b2,"(48, 1)"
secret,"[[0.4629]
 [0.4736]
 [0.4631]
 [0.4739]
 [0.4598]
 [0.4708]
 [0.4802]
 [0.4894]
 [0.4805]
 [0.4902]
 [0.5071]
 [0.5169]
 [0.5045]
 [0.5157]
 [0.4963]
 [0.5098]
 [0.4568]
 [0.4762]
 [0.4531]
 [0.4746]
 [0.4484]
 [0.4722]
 [0.437 ]
 [0.4641]
 [0.4447]
 [0.4726]
 [0.4562]
 [0.4841]
 [0.4597]
 [0.4888]
 [0.4204]
 [0.4574]
 [0.3896]
 [0.4341]
 [0.4119]
 [0.4543]
 [0.4389]
 [0.4781]
 [0.4774]
 [0.5101]
 [0.4884]
 [0.519 ]
 [0.5089]
 [0.5357]
 [0.535 ]
 [0.5574]
 [0.6841]
 [0.6901]]"
b2,"(48, 1)"
secret,"[[0.2938]
 [0.3015]
 [0.294 ]
 [0.3017]
 [0.2917]
 [0.2995]
 [0.3065]
 [0.3132]
 [0.3068]
 [0.3138]
 [0.3268]
 [0.3338]
 [0.3249]
 [0.3329]
 [0.319 ]
 [0.3287]
 [0.2904]
 [0.3043]
 [0.2879]
 [0.3033]
 [0.2846]
 [0.3017]
 [0.2765]
 [0.296 ]
 [0.2824]
 [0.3023]
 [0.291 ]
 [0.3109]
 [0.2937]
 [0.3146]
 [0.2653]
 [0.292 ]
 [0.2435]
 [0.2755]
 [0.2601]
 [0.2906]
 [0.2803]
 [0.3085]
 [0.3071]
 [0.3305]
 [0.3152]
 [0.3372]
 [0.3302]
 [0.3495]
 [0.3493]
 [0.3652]
 [0.4578]
 [0.4621]]"
b2,"(1, 1)"
secret,[[0.0321]]
b2,"(48, 1)"
